uploaded|uniqueID|salutation|jobtitle|institution|fit|teaching|customCLskip|fourthLOR|desire
False|ColumbiaSIPA|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Macroeconomics|the School of International and Public Affairs at Columbia University|I think my record of research and teaching makes me a strong fit for the position. I am particularly excited to work with colleagues to address issues of long-run inclusive prosperity across space.|\generalteach|\smallskip|Fernando Alvarez,~|On top of my desire to do action-oriented research in a vibrant intellectual environment, I am excited about the prospect of moving back to New York State, where my family is, and being in New York City in particular, where my wife can find ample opportunities to continue her work in academic medicine.
False|GeorgetownMcDonoughIPE|Dear Junior Faculty Recruitment Committee,|Assistant Professor of International Political Economy|the McDonough School of Business at Georgetown University|I think my record of research and teaching on topics in international economics make me a strong fit for the position.|\generalteach|\bigskip|Fernando Alvarez,~|
False|TorontoRotman|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economic Analysis and Policy|the Rotman School of Management at the University of Toronto|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\smallskip|Fernando Alvarez,~|I am particularly excited about the position at the Rotman School, not only because I think my research agenda contributes to the existing strengths of the department, but also because Toronto is just across the lake from where I grew up and where all of my family still lives in Rochester, New York. I would be thrilled to pursue excellent research in a major global city while being close to my family.
False|WhartonRealEstate|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Real Estate|the Wharton School at the University of Pennsylvania|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip||
False|YaleSOM|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the Yale School of Management|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Fernando Alvarez,~|
False|Swarthmore|Dear Junior Faculty Recruitment Committee,|Assistant Professor of International Economics|Swarthmore College|I think my record of research and teaching makes me a strong fit for the position.|\LAC|\bigskip|Fernando Alvarez,~|
False|Middlebury|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Middlebury College|I think my record of research and teaching makes me a strong fit for the position.|\LAC|\bigskip|Fernando Alvarez,~|
False|Williams|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Macroeconomics|Williams College|I think my record of research and teaching makes me a strong fit for the position.|\LAC|\bigskip||
False|SIEPRPostdoc|Dear Postdoctoral Fellows Recruitment Committee,|SIEPR Postdoctoral Fellow in Applied Economic Policy|Stanford University|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip|Fernando Alvarez,~|During my time at SIEPR, I would be particularly excited to work with Adrien Auclert, Rebecca Diamond, Patrick Kehoe, Pete Klenow, Chad Jones, Melanie Morten, and Christopher Tonetti.
False|PrincetonIESPostdoc|Dear Postdoctoral Fellows Recruitment Committee,|International Economics Postdoctoral Fellow|Dartmouth College|I think my record of current and planned research makes me a strong fit for the position.||\bigskip|Fernando Alvarez,~|
False|DartmouthPostdoc|Dear Postdoctoral Fellows Recruitment Committee,|Postdoctoral Research Associate within the International Economics Section|Princeton University|I think my record of current and planned research makes me a strong fit for the position.||\bigskip||
False|PhillyFed|Dear Recruitment Committee,|Research Regional Economist|the Federal Reserve Bank of Philadelphia|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip|Fernando Alvarez,~|I am particularly excited about the position at the Philadelphia Fed, not only because I think my research agenda contributes to the existing strengths of the department, but also because moving to Greater Philadelphia would be particularly beneficial to my wife's career in academic medicine.
False|NYFed|Dear Recruitment Committee,|Ph.D. Economist|the Federal Reserve Bank of New York|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip|Fernando Alvarez,~|On top of my desire to do action-oriented research in a vibrant intellectual environment, I am excited about the prospect of moving back to New York State, where my family is, and being in New York City in particular, where my wife can find ample opportunities to continue her work in academic medicine.
False|SFFed|Dear Recruitment Committee,|Economist within the Research \& Statistics Group|the Federal Reserve Bank of San Francisco|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip|Fernando Alvarez,~|I am particularly excited about the position at the San Francisco Fed, not only because I think my research agenda contributes to the existing strengths of the research group, but also because moving to the Bay Area would be particularly beneficial to my wife's career in academic medicine.
False|FedBoard|Dear Recruitment Committee,|Economist|the Federal Reserve Board of Governors|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip||
False|WorldBank|Dear Recruitment Committee,|Research Economist|the World Bank in the Development Research Group|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip|Fernando Alvarez,~|
